N,family,setting,setting_value,selector,real_utility,predicted_utility,combined_internal_score,visual_plausibility,temporal_smoothness,goal_frame_similarity,learned_video_score,action_consistency_violation_rate,temporal_causal_violation_rate,occlusion_uncertainty,frame_to_state_consistency_error,trap_rate_valid_detour,trap_rate_near_miss,trap_rate_temporal_causal,trap_rate_occlusion_skip,trap_rate_ghost_wall,trap_rate_random
1,candidate_count_tail,default_world,Nmax256,raw_visual,0.1261538461538461,2.1569230769230767,0.9459515236074835,0.9029421899703091,0.9529545454545456,0.9670329670329672,0.9994683336323269,0.4248251748251749,0.010489510489510488,0.24038461538461542,0.0,0.4230769230769231,0.11538461538461539,0.057692307692307696,0.25,0.15384615384615385,
2,candidate_count_tail,default_world,Nmax256,raw_visual,-0.8469230769230769,2.4530769230769227,0.9674890717133929,0.9398643876323926,0.9563199300699302,0.989010989010989,0.9997341668161634,0.6870629370629368,0.010489510489510488,0.27884615384615385,0.0,0.21153846153846154,0.038461538461538464,0.057692307692307696,0.3076923076923077,0.38461538461538464,
4,candidate_count_tail,default_world,Nmax256,raw_visual,-1.4661538461538457,2.5953846153846154,0.9834405084566502,0.968428116862545,0.967692307692308,1.0,0.9999033333876959,0.839160839160839,0.0,0.3076923076923077,0.0,0.07692307692307693,,,0.28846153846153844,0.6346153846153846,
8,candidate_count_tail,default_world,Nmax256,raw_visual,-1.8199999999999994,2.5800000000000005,0.9867947461107699,0.9796904297375588,0.9650000000000003,1.0,1.0,0.9090909090909088,0.0,0.33333333333333326,0.0,,,,0.38461538461538464,0.6153846153846154,
16,candidate_count_tail,default_world,Nmax256,raw_visual,-1.8199999999999994,2.5800000000000005,0.9867947461107699,0.9796904297375588,0.9650000000000003,1.0,1.0,0.9090909090909088,0.0,0.33333333333333326,0.0,,,,0.38461538461538464,0.6153846153846154,
32,candidate_count_tail,default_world,Nmax256,raw_visual,-1.8199999999999994,2.5800000000000005,0.9867947461107699,0.9796904297375588,0.9650000000000003,1.0,1.0,0.9090909090909088,0.0,0.33333333333333326,0.0,,,,0.5192307692307693,0.4807692307692308,
64,candidate_count_tail,default_world,Nmax256,raw_visual,-1.8199999999999994,2.5800000000000005,0.9867947461107699,0.9796904297375588,0.9650000000000003,1.0,1.0,0.9090909090909088,0.0,0.33333333333333326,0.0,,,,0.5192307692307693,0.4807692307692308,
128,candidate_count_tail,default_world,Nmax256,raw_visual,-1.8199999999999994,2.5800000000000005,0.9867947461107699,0.9796904297375588,0.9650000000000003,1.0,1.0,0.9090909090909088,0.0,0.33333333333333326,0.0,,,,0.40384615384615385,0.5961538461538461,
256,candidate_count_tail,default_world,Nmax256,raw_visual,-1.8199999999999994,2.5800000000000005,0.9867947461107699,0.9796904297375588,0.9650000000000003,1.0,1.0,0.9090909090909088,0.0,0.33333333333333326,0.0,,,,0.4230769230769231,0.5769230769230769,
1,horizon_sweep,horizon,7,raw_visual,-1.7578571428571428,0.28499999999999986,0.9042757653554366,0.9393991399772955,0.94375,0.8290816326530612,0.9995403735499296,0.3979591836734694,0.0,0.38392857142857145,0.0,0.32142857142857145,0.14285714285714285,,0.21428571428571427,0.25,0.07142857142857142
64,horizon_sweep,horizon,7,raw_visual,-1.7400000000000002,2.6599999999999993,0.9780255533909578,0.9662516276204649,0.9416666666666667,1.0,1.0,0.8571428571428571,0.0,0.5,0.0,,,,0.39285714285714285,0.6071428571428571,
256,horizon_sweep,horizon,7,raw_visual,-1.7400000000000002,2.6599999999999993,0.9780255533909578,0.9662516276204649,0.9416666666666667,1.0,1.0,0.8571428571428571,0.0,0.5,0.0,,,,0.39285714285714285,0.6071428571428571,
1,horizon_sweep,horizon,11,raw_visual,-1.17,1.6585714285714281,0.9424023811013441,0.9352124562998804,0.9371266233766233,0.9362244897959184,0.9998204762914351,0.5876623376623374,0.006493506493506494,0.3541666666666667,0.0,0.14285714285714285,0.17857142857142858,0.03571428571428571,0.21428571428571427,0.39285714285714285,0.03571428571428571
64,horizon_sweep,horizon,11,raw_visual,-1.8199999999999998,2.579999999999999,0.9867947461107701,0.9796904297375588,0.965,1.0,1.0,0.9090909090909092,0.0,0.3333333333333334,0.0,,,,0.42857142857142855,0.5714285714285714,
256,horizon_sweep,horizon,11,raw_visual,-1.8199999999999998,2.579999999999999,0.9867947461107701,0.9796904297375588,0.965,1.0,1.0,0.9090909090909092,0.0,0.3333333333333334,0.0,,,,0.75,0.25,
1,horizon_sweep,horizon,15,raw_visual,-0.2732142857142856,2.241071428571429,0.9533078501200141,0.9118073022737506,0.9556547619047622,0.9770408163265306,1.0,0.5380952380952381,0.009523809523809523,0.19196428571428573,0.0,0.35714285714285715,0.03571428571428571,0.07142857142857142,0.17857142857142858,0.32142857142857145,0.03571428571428571
64,horizon_sweep,horizon,15,raw_visual,-1.8999999999999997,2.5,0.9905608138026903,0.9854729817726181,0.9750000000000002,1.0,1.0,0.9333333333333333,0.0,0.25,0.0,,,,0.35714285714285715,0.6428571428571429,
256,horizon_sweep,horizon,15,raw_visual,-1.8999999999999997,2.5,0.9905608138026903,0.9854729817726181,0.9750000000000002,1.0,1.0,0.9333333333333333,0.0,0.25,0.0,,,,0.32142857142857145,0.6785714285714286,
1,horizon_sweep,horizon,19,raw_visual,-1.5121428571428568,1.1592857142857145,0.9341758556177862,0.9357134061419065,0.938847117794486,0.913265306122449,1.0,0.5808270676691729,0.011278195488721804,0.33392857142857135,0.0,0.10714285714285714,0.21428571428571427,0.10714285714285714,0.07142857142857142,0.42857142857142855,0.07142857142857142
64,horizon_sweep,horizon,19,raw_visual,-1.9799999999999993,2.4200000000000004,0.9926553208415062,0.9886921201220767,0.9805555555555553,1.0,1.0,0.9473684210526313,0.0,0.20000000000000004,0.0,,,,0.39285714285714285,0.6071428571428571,
