regime,occlusion_cols,n64_real_utility,n64_visual_plausibility,n64_occlusion_uncertainty,n64_action_violation
thin,3-3,-1.8199999999999998,0.9795625887757635,0.25,0.9090909090909093
standard,3-4,-1.8199999999999998,0.9796904297375588,0.3333333333333334,0.9090909090909093
wide,2-5,-1.8199999999999998,0.9799461115738379,1.0,0.9090909090909093
