N,real_utility,predicted_utility,combined_internal_score,visual_plausibility,temporal_smoothness,goal_frame_similarity,learned_video_score,action_consistency_violation_rate,temporal_causal_violation_rate,occlusion_uncertainty,frame_to_state_consistency_error,trap_rate_near_miss,trap_rate_ghost_wall,trap_rate_valid_detour,trap_rate_temporal_causal,trap_rate_occlusion_skip,gate_label
1,0.13499999999999995,2.1149999999999998,0.9414502893951566,0.8976053179060735,0.9438295454545453,0.9642857142857142,0.9994659169670193,0.41818181818181815,0.01818181818181818,0.24375,0.0,0.125,0.325,0.425,0.1,0.025,require_action_consistency_check
2,-0.32500000000000007,2.5349999999999997,0.9669204819107267,0.9276254550684004,0.9682386363636362,0.9928571428571429,0.999591583563015,0.5931818181818181,0.004545454545454545,0.23541666666666666,0.0,0.025,0.225,0.325,0.025,0.4,block_high_n
4,-1.3599999999999999,2.6,0.9824342371604144,0.9650494230000408,0.9684999999999999,1.0,0.9998743334040047,0.8181818181818181,0.0,0.3,0.0,,0.6,0.1,,0.3,block_high_n
8,-1.8199999999999998,2.5799999999999996,0.98679474611077,0.9796904297375587,0.9650000000000001,1.0,1.0,0.909090909090909,0.0,0.3333333333333333,0.0,,0.6,,,0.4,block_high_n
16,-1.8199999999999998,2.5799999999999996,0.98679474611077,0.9796904297375587,0.9650000000000001,1.0,1.0,0.909090909090909,0.0,0.3333333333333333,0.0,,0.55,,,0.45,block_high_n
32,-1.8199999999999998,2.5799999999999996,0.98679474611077,0.9796904297375587,0.9650000000000001,1.0,1.0,0.909090909090909,0.0,0.3333333333333333,0.0,,0.5,,,0.5,block_high_n
64,-1.8199999999999998,2.5799999999999996,0.98679474611077,0.9796904297375587,0.9650000000000001,1.0,1.0,0.909090909090909,0.0,0.3333333333333333,0.0,,0.6,,,0.4,block_high_n
